Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating
ETN,393.1600036621094,-0.07572229312084977,0.027164409979124653,74.71438646316528,52.0,31.02564102564103,21.650341602461985,20.938585343877225,44.139647939781234,"Volatility_30, Return_5d, Trend_MA50",51.2,Neutral
EMR,148.3000030517578,-0.02556015064883188,0.019179466156669323,40.64411222934723,51.15789473684211,20.256521739130434,15.91159717475507,16.190418459922007,36.34756243631871,"Trend_MA50, RSI_14, Volatility_30",39.0,Below Average
PH,928.8300170898438,-0.022520825293630087,0.019650386442385644,81.49372339248657,54.10526315789474,31.254222901281725,20.87791645600976,24.54240771435722,28.428546720110347,"RSI_14, Trend_MA50, Volatility_30",64.9,Above Average
LMT,529.3800048828125,0.00990099471037964,0.016937987981947327,50.45310854911804,64.0,51.30481283422459,20.20312073928193,26.112184865152642,32.57468760326532,"Momentum_20, Trend_MA50, Return_10d",54.7,Neutral
RTX,195.33999633789062,-0.011837294741954496,0.012111130291393175,59.43782925605774,57.26315789473684,35.10215274921157,9.361438355246403,13.722426189571099,20.392484135808417,"Trend_MA50, Volatility_30, RSI_14",56.1,Neutral
GD,356.80999755859375,0.002556908338621877,0.009763840367509673,59.8252534866333,65.26315789473685,37.46233766233766,19.540819333922784,25.018624786066646,22.888149749911463,"Z_Score_20, Return_10d, Trend_MA50",60.1,Above Average
NOC,527.3900146484375,0.016224530166754292,0.015274035214318249,38.00448477268219,53.47368421052632,21.574074074074073,22.3015873015873,20.485114585564364,35.84271241891986,"Trend_MA50, Volatility_30, Return_5d",39.4,Below Average
UNP,285.0799865722656,0.0023909728916124973,0.011059396131228437,66.20795726776123,66.10526315789473,38.67374909830153,23.066433566433567,28.314238952536822,10.313904852021025,"Trend_MA50, Volatility_30, Z_Score_20",63.6,Above Average
CSX,48.90999984741211,-0.0008171790583020311,0.01077682302649563,61.41108274459839,57.26315789473684,31.21031746031746,11.913086758817837,16.732744379803204,29.02156474738223,"Trend_MA50, Return_10d, Volatility_30",56.3,Neutral
NSC,320.04998779296875,-0.000686924245948406,0.011281928568529184,62.851619720458984,59.578947368421055,23.310755740423257,12.826861403001383,15.522989337579002,9.415833771501255,"Trend_MA50, Momentum_20, Volatility_30",55.2,Neutral
FDX,312.57000732421875,0.0018590887784830645,0.015143523402711618,64.41090703010559,58.73684210526316,50.596153846153854,31.882516188714153,35.757519812796545,27.782379337425922,"Momentum_20, Trend_MA50, Return_10d",65.5,Above Average
UPS,102.45999908447266,0.021739133742648686,0.014822141693401509,51.177895069122314,58.52631578947368,36.23952678064986,34.0757808499744,33.436819428123776,49.09343674700237,"Return_5d, Trend_MA50, Volatility_30",46.3,Below Average
WM,218.08999633789062,0.021690197125449062,0.009200246389468621,32.252007722854614,65.6842105263158,37.29978354978355,30.144300144300143,33.278844169246646,35.3106356678162,"Trend_MA50, Return_10d, Volatility_30",45.4,Below Average
ITW,269.0400085449219,0.0032816410754579195,0.009771509382023725,53.27080488204956,60.0,27.195919492693683,23.542429792429793,25.03224534579518,30.30386101102097,"Volatility_30, Trend_MA50, Momentum_20",48.9,Below Average
DIS,108.58999633789062,0.019145877313038406,0.016703045156841404,34.722527861595154,64.42105263157895,22.81954887218045,12.291005291005291,15.510251786549123,44.45053678249095,"Momentum_20, Volatility_30, Trend_MA50",34.8,Below Average
CMCSA,24.8799991607666,-0.012698475892249372,0.019949219784067822,40.20545780658722,58.526315789473685,33.982980434199945,28.87542794895736,26.637927725087387,32.28476575464498,"Volatility_30, RSI_14, Trend_MA50",45.3,Below Average
VZ,51.290000915527344,0.01343608569403365,0.009838009207589949,32.02236294746399,64.84210526315789,44.89659270186654,43.40060083594566,42.1539948377668,60.67417415915751,"Trend_MA50, Volatility_30, RSI_14",38.3,Below Average
T,26.510000228881836,0.017267873068361084,0.012769152149380403,15.690629184246063,54.315789473684205,36.093052109181144,24.837341153470184,28.510526791361706,59.95144597299714,"Volatility_30, Return_10d, RSI_14",30.4,Below Average
TMUS,182.89999389648438,0.0031261561986810626,0.017379787618364884,61.029958724975586,62.526315789473685,46.02997719126752,24.665551641104113,28.559377559115603,50.41249117695984,"Return_5d, Trend_MA50, Volatility_30",52.7,Neutral
CHTR,143.35000610351562,-0.01660148245877835,0.03970285147165821,53.890472650527954,58.31578947368422,35.85185185185185,22.40639897736672,26.635013528630548,45.53169648086333,"Volatility_30, Trend_MA50, RSI_14",46.2,Below Average
FOXA,68.52999877929688,0.03927807464356814,0.0232858835879403,43.70732605457306,55.36842105263158,46.57843137254902,27.073610822693723,32.290367437506916,48.13391727673231,"Volatility_30, RSI_14, Momentum_20",45.0,Below Average
FOX,61.13999938964844,0.04602221713595922,0.023649950860888683,51.88066363334656,49.68421052631579,37.12334682860998,28.076884337753903,31.046992587257847,48.543686923243115,"Volatility_30, Momentum_20, Trend_MA50",44.6,Below Average
WBD,28.100000381469727,0.0021397811691639124,0.00896471919746513,11.089103668928146,49.68421052631579,31.486391658112524,26.026530612244898,22.981422454039084,35.714253276330766,"Trend_MA50, Return_10d, Momentum_20",30.7,Below Average
UBER,72.62999725341797,0.013394713394713431,0.02654953944324341,63.79474997520447,58.73684210526316,46.644444444444446,28.692799847211614,33.1989513264758,33.19877313743771,"RSI_14, Trend_MA50, Volatility_30",58.9,Neutral
PYPL,54.029998779296875,0.0057706171174523035,0.030236656535787686,60.59916615486145,57.894736842105274,40.07973856209149,26.169090076423277,30.565834560908833,32.117807984648465,"Trend_MA50, Return_5d, Volatility_30",55.4,Neutral
SHOP,133.88999938964844,0.03959939723100181,0.044036943148151576,76.67824029922485,54.94736842105264,48.44408074195308,33.885760906221265,38.146656587971144,36.48258463309561,"Z_Score_20, Trend_MA50, Momentum_20",64.5,Above Average
SNOW,332.3500061035156,0.01021312492439952,0.03888488911987966,61.532062292099,52.421052631578945,49.02737047898338,16.772650580700116,22.899356049029787,53.60452253266242,"Volatility_30, Trend_MA50, Return_10d",50.8,Neutral
PLTR,173.30999755859375,0.03635712483638742,0.06377028067613832,53.488290309906006,48.421052631578945,36.308316430020284,21.868030375260634,25.449275362318836,48.181047731481456,"Volatility_30, Return_10d, RSI_14",44.0,Below Average
ABNB,170.64999389648438,0.002702811260822946,0.037407647304952864,56.35997653007507,60.421052631578945,48.62026862026862,12.214053121430826,16.893854958251243,26.496019550025252,"Volatility_30, Volume_MA_Ratio, Return_10d",59.3,Neutral
BKNG,175.35000610351562,0.008222216821674566,0.024891312127534523,78.79664897918701,56.421052631578945,40.20791366558942,40.84420618141549,39.173600585734924,16.930604294813264,"Trend_MA50, RSI_14, Volatility_30",68.7,Above Average
