Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model
GFRD.L,490.5,-0.034448818897637845,0.022226937451895523,82.76998371896546,58.54166666666667,42.97498309668695,28.697285603307773,32.66124724948254,32.94117647058823,"Volatility_30, Trend_MA50, Return_10d",65.5,Above Average,catboost
GPE.L,274.5,-0.019642857142857184,0.019282033666075806,74.62829425832086,61.875,40.0700104493208,18.414332399626517,21.58531497705465,23.357664233576642,"Volatility_30, Trend_MA50, Return_10d",65.5,Above Average,catboost
TEP.L,1256.0,-0.014128728414442682,0.01136432692846722,73.61432319283917,66.25,36.87301587301587,24.28962703962704,24.096172057492794,22.61904761904762,"Volatility_30, Trend_MA50, Momentum_20",65.5,Above Average,catboost
ICE,152.6699981689453,-0.02109520648430019,0.013760833314991231,72.4593837326893,62.526315789473685,42.07692307692307,18.753135269264302,22.651891525841105,25.4762602328548,"Volatility_30, Trend_MA50, RSI_14",65.4,Above Average,catboost
UCG.MI,60.220001220703125,-0.015369500148040949,0.023926759308927237,82.321651981585,53.541666666666664,44.046783625730995,32.272336885500955,36.32475311840733,37.403009368804575,"Volatility_30, Trend_MA50, RSI_14",65.1,Above Average,catboost
SOFI,15.229999542236328,-0.04032768418008137,0.024824761481712844,75.11050527018811,49.05263157894736,46.17948717948718,17.326382910887933,23.729469392972412,11.802559121670015,"Volatility_30, Momentum_20, Trend_MA50",65.0,Above Average,catboost
DECK,94.05000305175781,0.0038424655883289027,0.020420507268173658,72.42951269353499,59.1578947368421,50.009558743405826,44.8588225632702,44.32454625685891,30.01168019258509,"Trend_MA50, Volatility_30, Momentum_20",65.0,Above Average,catboost
CHRW,161.57000732421875,-0.03632348923338924,0.026876387528568017,71.41428323653781,57.894736842105274,49.22898550724638,14.505175983436851,16.73297372149451,23.99797276714169,"Volatility_30, Trend_MA50, Momentum_20",65.0,Above Average,catboost
HOOD,66.0199966430664,-0.06154942324053525,0.03870370323691372,63.230973156292336,50.10526315789473,54.98816809465524,36.51736676617778,38.809646138204094,28.968127478529837,"Volatility_30, Trend_MA50, Momentum_20",64.9,Above Average,catboost
ROG.SW,312.5,-0.0009590402962781353,0.015753891965082773,93.53893995731376,56.210526315789465,38.49206349206349,7.437083468755134,10.22099271704603,33.60790782582552,"Volatility_30, Trend_MA50, Momentum_20",64.8,Above Average,catboost
RMV.L,413.1000061035156,0.00242659545059265,0.02088435351135026,77.9563950544986,62.29166666666667,29.845295055821367,33.02272727272727,24.244762638797557,24.717683511461132,"Trend_MA50, Volatility_30, Momentum_20",64.7,Above Average,catboost
FSV.L,397.0,-0.011207970112079746,0.014999316724154221,85.22251779933808,70.625,30.654623154623152,18.283414418398937,22.67167919799499,35.21126760563381,"Volatility_30, Trend_MA50, Return_5d",64.3,Above Average,catboost
SIE.DE,204.89999389648438,-0.02312279429566444,0.026387693219088893,79.28090688080673,61.64948453608247,42.85334984972009,24.868187911639563,30.355418861683255,36.17746542686849,"Trend_MA50, Volatility_30, Return_10d",64.3,Above Average,catboost
GDDY,79.97000122070312,-0.021534345576178837,0.04079194687799286,69.98465327138183,54.105263157894726,44.61111111111111,36.09165671648948,28.810279369921197,27.180690032175363,"Volatility_30, Momentum_20, Trend_MA50",64.3,Above Average,catboost
SU.PA,229.1999969482422,-0.03778337579893243,0.023806979290658347,79.95969773439228,57.7319587628866,39.18423714245092,43.02550493881763,39.3033388392847,39.097752359687526,"Volatility_30, Trend_MA50, RSI_14",64.2,Above Average,catboost
